timestamp,task,checkpoint,from_start,from_last
1669445273744353664,lane_front_12mm,start,0,0
1669445273759106525,lane_front_12mm,gpu_start,14752861,14752861
1669445273759213866,lane_front_12mm,gpu_end,14860202,107341
1669445273759233469,lane_front_12mm,end,14879805,19603
1669445273762758998,lane_front_6mm,start,0,0
1669445273773736747,lane_front_12mm,start,0,0
1669445273776146758,lane_front_6mm,gpu_start,13387760,13387760
1669445273798667467,lane_front_6mm,gpu_end,35908469,22520709
1669445273798697442,lane_front_6mm,end,35938444,29975
1669445273798728900,lane_front_6mm,start,0,0
1669445273811830882,lane_front_12mm,gpu_start,38094135,38094135
1669445273811952033,lane_front_12mm,gpu_end,38215286,121151
1669445273811986454,lane_front_12mm,end,38249707,34421
1669445273824880973,lane_front_6mm,gpu_start,26152073,26152073
1669445273841921700,lane_front_6mm,gpu_end,43192800,17040727
1669445273841960708,lane_front_6mm,end,43231808,39008
1669445273863998102,lane_front_6mm,start,0,0
1669445273865051246,lane_front_6mm,gpu_start,1053144,1053144
1669445273865965247,lane_front_12mm,start,0,0
1669445273882761145,lane_front_6mm,gpu_end,18763043,17709899
1669445273882801205,lane_front_6mm,end,18803103,40060
1669445273883402391,lane_front_12mm,gpu_start,17437144,17437144
1669445273883451325,lane_front_12mm,gpu_end,17486078,48934
1669445273883460885,lane_front_12mm,end,17495638,9560
1669445273925613281,lane_front_6mm,start,0,0
1669445273927512162,lane_front_6mm,gpu_start,1898881,1898881
1669445273928180705,lane_front_12mm,start,0,0
1669445273941387388,lane_front_6mm,gpu_end,15774107,13875226
1669445273941416312,lane_front_6mm,end,15803031,28924
1669445273942126681,lane_front_12mm,gpu_start,13945976,13945976
1669445273942206811,lane_front_12mm,gpu_end,14026106,80130
1669445273942220341,lane_front_12mm,end,14039636,13530
1669445274001858526,lane_front_12mm,start,0,0
1669445274002911155,lane_front_12mm,gpu_start,1052629,1052629
1669445274003003349,lane_front_12mm,gpu_end,1144823,92194
1669445274003021583,lane_front_12mm,end,1163057,18234
1669445274006161988,lane_front_6mm,start,0,0
1669445274006982425,lane_front_6mm,gpu_start,820437,820437
1669445274023244190,lane_front_6mm,gpu_end,17082202,16261765
1669445274023269833,lane_front_6mm,end,17107845,25643
1669445274060341593,lane_front_12mm,start,0,0
1669445274061206968,lane_front_12mm,gpu_start,865375,865375
1669445274061309364,lane_front_12mm,gpu_end,967771,102396
1669445274061324809,lane_front_12mm,end,983216,15445
1669445274063681853,lane_front_6mm,start,0,0
1669445274064503909,lane_front_6mm,gpu_start,822056,822056
1669445274082043844,lane_front_6mm,gpu_end,18361991,17539935
1669445274082070904,lane_front_6mm,end,18389051,27060
1669445274129687226,lane_front_6mm,start,0,0
1669445274131160372,lane_front_6mm,gpu_start,1473146,1473146
1669445274132339838,lane_front_12mm,start,0,0
1669445274149642015,lane_front_6mm,gpu_end,19954789,18481643
1669445274149695686,lane_front_6mm,end,20008460,53671
1669445274150911034,lane_front_12mm,gpu_start,18571196,18571196
1669445274151024921,lane_front_12mm,gpu_end,18685083,113887
1669445274151042796,lane_front_12mm,end,18702958,17875
1669445274201814329,lane_front_6mm,start,0,0
1669445274203024319,lane_front_6mm,gpu_start,1209990,1209990
1669445274204061932,lane_front_12mm,start,0,0
1669445274216070057,lane_front_6mm,gpu_end,14255728,13045738
1669445274216111928,lane_front_6mm,end,14297599,41871
1669445274216781614,lane_front_12mm,gpu_start,12719682,12719682
1669445274216853325,lane_front_12mm,gpu_end,12791393,71711
1669445274216866223,lane_front_12mm,end,12804291,12898
1669445274271612241,lane_front_12mm,start,0,0
1669445274273205901,lane_front_12mm,gpu_start,1593660,1593660
1669445274273335774,lane_front_12mm,gpu_end,1723533,129873
1669445274273362764,lane_front_12mm,end,1750523,26990
1669445274274040070,lane_front_6mm,start,0,0
1669445274274859651,lane_front_6mm,gpu_start,819581,819581
1669445274291098194,lane_front_6mm,gpu_end,17058124,16238543
1669445274291126716,lane_front_6mm,end,17086646,28522
1669445274350204968,lane_front_12mm,start,0,0
1669445274351534203,lane_front_12mm,gpu_start,1329235,1329235
1669445274351702621,lane_front_12mm,gpu_end,1497653,168418
1669445274351725193,lane_front_12mm,end,1520225,22572
1669445274352481111,lane_front_6mm,start,0,0
1669445274353483136,lane_front_6mm,gpu_start,1002025,1002025
1669445274370809167,lane_front_6mm,gpu_end,18328056,17326031
1669445274370836641,lane_front_6mm,end,18355530,27474
1669445274422850605,lane_front_6mm,start,0,0
1669445274424151157,lane_front_6mm,gpu_start,1300552,1300552
1669445274426347276,lane_front_12mm,start,0,0
1669445274443086326,lane_front_6mm,gpu_end,20235721,18935169
1669445274443116717,lane_front_6mm,end,20266112,30391
1669445274443833023,lane_front_12mm,gpu_start,17485747,17485747
1669445274443907433,lane_front_12mm,gpu_end,17560157,74410
1669445274443936974,lane_front_12mm,end,17589698,29541
1669445274493909534,lane_front_6mm,start,0,0
1669445274495785173,lane_front_6mm,gpu_start,1875639,1875639
1669445274496837473,lane_front_12mm,start,0,0
1669445274514234766,lane_front_6mm,gpu_end,20325232,18449593
1669445274514264778,lane_front_6mm,end,20355244,30012
1669445274514948379,lane_front_12mm,gpu_start,18110906,18110906
1669445274515012063,lane_front_12mm,gpu_end,18174590,63684
1669445274515036607,lane_front_12mm,end,18199134,24544
1669445274564566244,lane_front_6mm,start,0,0
1669445274565928747,lane_front_6mm,gpu_start,1362503,1362503
1669445274566917872,lane_front_12mm,start,0,0
1669445274587764420,lane_front_6mm,gpu_end,23198176,21835673
1669445274587809178,lane_front_6mm,end,23242934,44758
1669445274588711704,lane_front_12mm,gpu_start,21793832,21793832
1669445274588771281,lane_front_12mm,gpu_end,21853409,59577
1669445274588783240,lane_front_12mm,end,21865368,11959
1669445274651541296,lane_front_6mm,start,0,0
1669445274652655301,lane_front_6mm,gpu_start,1114005,1114005
1669445274656115164,lane_front_12mm,start,0,0
1669445274674353645,lane_front_6mm,gpu_end,22812349,21698344
1669445274674385902,lane_front_6mm,end,22844606,32257
1669445274675085071,lane_front_12mm,gpu_start,18969907,18969907
1669445274675150751,lane_front_12mm,gpu_end,19035587,65680
1669445274675163376,lane_front_12mm,end,19048212,12625
1669445274727928944,lane_front_6mm,start,0,0
1669445274729324733,lane_front_6mm,gpu_start,1395789,1395789
1669445274730324964,lane_front_12mm,start,0,0
1669445274747733435,lane_front_6mm,gpu_end,19804491,18408702
1669445274747763152,lane_front_6mm,end,19834208,29717
1669445274748499611,lane_front_12mm,gpu_start,18174647,18174647
1669445274748566565,lane_front_12mm,gpu_end,18241601,66954
1669445274748585898,lane_front_12mm,end,18260934,19333
1669445274802353186,lane_front_6mm,start,0,0
1669445274804353881,lane_front_6mm,gpu_start,2000695,2000695
1669445274804958378,lane_front_12mm,start,0,0
1669445274823496019,lane_front_6mm,gpu_end,21142833,19142138
1669445274823523541,lane_front_6mm,end,21170355,27522
1669445274824191213,lane_front_12mm,gpu_start,19232835,19232835
1669445274824263202,lane_front_12mm,gpu_end,19304824,71989
1669445274824282251,lane_front_12mm,end,19323873,19049
1669445274872470449,lane_front_12mm,start,0,0
1669445274873800821,lane_front_12mm,gpu_start,1330372,1330372
1669445274873898606,lane_front_12mm,gpu_end,1428157,97785
1669445274873927921,lane_front_12mm,end,1457472,29315
1669445274874813714,lane_front_6mm,start,0,0
1669445274875422677,lane_front_6mm,gpu_start,608963,608963
1669445274892308045,lane_front_6mm,gpu_end,17494331,16885368
1669445274892351744,lane_front_6mm,end,17538030,43699
1669445274955465970,lane_front_6mm,start,0,0
1669445274957269143,lane_front_6mm,gpu_start,1803173,1803173
1669445274958016224,lane_front_12mm,start,0,0
1669445274976943814,lane_front_6mm,gpu_end,21477844,19674671
1669445274976974675,lane_front_6mm,end,21508705,30861
1669445274977661058,lane_front_12mm,gpu_start,19644834,19644834
1669445274977725708,lane_front_12mm,gpu_end,19709484,64650
1669445274977741359,lane_front_12mm,end,19725135,15651
1669445275043311213,lane_front_6mm,start,0,0
1669445275044434839,lane_front_6mm,gpu_start,1123626,1123626
1669445275045858608,lane_front_12mm,start,0,0
1669445275061709467,lane_front_6mm,gpu_end,18398254,17274628
1669445275061739440,lane_front_6mm,end,18428227,29973
1669445275062416999,lane_front_12mm,gpu_start,16558391,16558391
1669445275062484668,lane_front_12mm,gpu_end,16626060,67669
1669445275062512612,lane_front_12mm,end,16654004,27944
1669445275130489621,lane_front_6mm,start,0,0
1669445275132377897,lane_front_6mm,gpu_start,1888276,1888276
1669445275133092243,lane_front_12mm,start,0,0
1669445275152296755,lane_front_6mm,gpu_end,21807134,19918858
1669445275152322333,lane_front_6mm,end,21832712,25578
1669445275153005057,lane_front_12mm,gpu_start,19912814,19912814
1669445275153068914,lane_front_12mm,gpu_end,19976671,63857
1669445275153100607,lane_front_12mm,end,20008364,31693
1669445275209044754,lane_front_6mm,start,0,0
1669445275210290747,lane_front_6mm,gpu_start,1245993,1245993
1669445275211472681,lane_front_12mm,start,0,0
1669445275227875458,lane_front_6mm,gpu_end,18830704,17584711
1669445275227909106,lane_front_6mm,end,18864352,33648
1669445275228724539,lane_front_12mm,gpu_start,17251858,17251858
1669445275228814393,lane_front_12mm,gpu_end,17341712,89854
1669445275228843730,lane_front_12mm,end,17371049,29337
1669445275292711924,lane_front_6mm,start,0,0
1669445275294907544,lane_front_6mm,gpu_start,2195620,2195620
1669445275295378631,lane_front_12mm,start,0,0
1669445275314035979,lane_front_6mm,gpu_end,21324055,19128435
1669445275314068585,lane_front_6mm,end,21356661,32606
1669445275314793571,lane_front_12mm,gpu_start,19414940,19414940
1669445275314856453,lane_front_12mm,gpu_end,19477822,62882
1669445275314875474,lane_front_12mm,end,19496843,19021
1669445275362821909,lane_front_6mm,start,0,0
1669445275364228285,lane_front_6mm,gpu_start,1406376,1406376
1669445275365171962,lane_front_12mm,start,0,0
1669445275381154254,lane_front_6mm,gpu_end,18332345,16925969
1669445275381184132,lane_front_6mm,end,18362223,29878
1669445275382046006,lane_front_12mm,gpu_start,16874044,16874044
1669445275382132931,lane_front_12mm,gpu_end,16960969,86925
1669445275382147609,lane_front_12mm,end,16975647,14678
1669445275464223868,lane_front_6mm,start,0,0
1669445275465314475,lane_front_6mm,gpu_start,1090607,1090607
1669445275467527125,lane_front_12mm,start,0,0
1669445275481338460,lane_front_6mm,gpu_end,17114592,16023985
1669445275481368882,lane_front_6mm,end,17145014,30422
1669445275482133727,lane_front_12mm,gpu_start,14606602,14606602
1669445275482201134,lane_front_12mm,gpu_end,14674009,67407
1669445275482212125,lane_front_12mm,end,14685000,10991
1669445275538975409,lane_front_6mm,start,0,0
1669445275540477579,lane_front_6mm,gpu_start,1502170,1502170
1669445275541426349,lane_front_12mm,start,0,0
1669445275559283519,lane_front_6mm,gpu_end,20308110,18805940
1669445275559320252,lane_front_6mm,end,20344843,36733
1669445275559983578,lane_front_12mm,gpu_start,18557229,18557229
1669445275560051702,lane_front_12mm,gpu_end,18625353,68124
1669445275560074638,lane_front_12mm,end,18648289,22936
1669445275629897486,lane_front_6mm,start,0,0
1669445275631631211,lane_front_6mm,gpu_start,1733725,1733725
1669445275634186039,lane_front_12mm,start,0,0
1669445275651910910,lane_front_6mm,gpu_end,22013424,20279699
1669445275651942242,lane_front_6mm,end,22044756,31332
1669445275652679900,lane_front_12mm,gpu_start,18493861,18493861
1669445275652752101,lane_front_12mm,gpu_end,18566062,72201
1669445275652775750,lane_front_12mm,end,18589711,23649
1669445275732201834,lane_front_12mm,start,0,0
1669445275733471941,lane_front_12mm,gpu_start,1270107,1270107
1669445275733574036,lane_front_12mm,gpu_end,1372202,102095
1669445275733606599,lane_front_12mm,end,1404765,32563
1669445275735750232,lane_front_6mm,start,0,0
1669445275736394401,lane_front_6mm,gpu_start,644169,644169
1669445275751132889,lane_front_6mm,gpu_end,15382657,14738488
1669445275751161240,lane_front_6mm,end,15411008,28351
1669445275832544918,lane_front_6mm,start,0,0
1669445275834282578,lane_front_6mm,gpu_start,1737660,1737660
1669445275835169020,lane_front_12mm,start,0,0
1669445275854298122,lane_front_6mm,gpu_end,21753204,20015544
1669445275854327985,lane_front_6mm,end,21783067,29863
1669445275855036809,lane_front_12mm,gpu_start,19867789,19867789
1669445275855111112,lane_front_12mm,gpu_end,19942092,74303
1669445275855125789,lane_front_12mm,end,19956769,14677
1669445275908397823,lane_front_6mm,start,0,0
1669445275910189811,lane_front_6mm,gpu_start,1791988,1791988
1669445275911121743,lane_front_12mm,start,0,0
1669445275928567089,lane_front_6mm,gpu_end,20169266,18377278
1669445275928597011,lane_front_6mm,end,20199188,29922
1669445275929271756,lane_front_12mm,gpu_start,18150013,18150013
1669445275929339713,lane_front_12mm,gpu_end,18217970,67957
1669445275929359301,lane_front_12mm,end,18237558,19588
1669445275995079091,lane_front_12mm,start,0,0
1669445275996252968,lane_front_12mm,gpu_start,1173877,1173877
1669445275996409602,lane_front_12mm,gpu_end,1330511,156634
1669445275996462686,lane_front_12mm,end,1383595,53084
1669445275998303512,lane_front_6mm,start,0,0
1669445275999355141,lane_front_6mm,gpu_start,1051629,1051629
1669445276014114364,lane_front_6mm,gpu_end,15810852,14759223
1669445276014147278,lane_front_6mm,end,15843766,32914
1669445276102144629,lane_front_6mm,start,0,0
1669445276103335570,lane_front_6mm,gpu_start,1190941,1190941
1669445276106128202,lane_front_12mm,start,0,0
1669445276121551615,lane_front_6mm,gpu_end,19406986,18216045
1669445276121581711,lane_front_6mm,end,19437082,30096
1669445276122247299,lane_front_12mm,gpu_start,16119097,16119097
1669445276122320624,lane_front_12mm,gpu_end,16192422,73325
1669445276122350751,lane_front_12mm,end,16222549,30127
1669445276184063717,lane_front_6mm,start,0,0
1669445276185536691,lane_front_6mm,gpu_start,1472974,1472974
1669445276186692818,lane_front_12mm,start,0,0
