ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,ts_TL,ts_lane,lat_cam,lat_lidar,lat_radar,lat_TL,lat_lane,is_finish,info1,info2,info3
1669445273600997180,1669445273601031181,Timing,RTKLocalizationComponent::Proc,34001,0,0,0,0,0,1669445273601031181,1669445273601031181,1669445273601031181,1669445273601031181,1669445273601031181,0,0,0,0
1669445273686533237,1669445273686667695,Timing,RTKLocalizationComponent::Proc,134458,0,0,0,0,0,1669445273686667695,1669445273686667695,1669445273686667695,1669445273686667695,1669445273686667695,1,-1,-1,-1
1669445273768473286,1669445273768536436,Timing,RTKLocalizationComponent::Proc,63150,0,0,0,0,0,1669445273768536436,1669445273768536436,1669445273768536436,1669445273768536436,1669445273768536436,1,-1,-1,-1
1669445273850739386,1669445273850797928,Timing,RTKLocalizationComponent::Proc,58542,0,0,0,0,0,1669445273850797928,1669445273850797928,1669445273850797928,1669445273850797928,1669445273850797928,1,-1,-1,-1
1669445273925452158,1669445273925555083,Timing,RTKLocalizationComponent::Proc,102925,0,0,0,0,0,1669445273925555083,1669445273925555083,1669445273925555083,1669445273925555083,1669445273925555083,1,-1,-1,-1
1669445274005411529,1669445274005473061,Timing,RTKLocalizationComponent::Proc,61532,0,0,0,0,0,1669445274005473061,1669445274005473061,1669445274005473061,1669445274005473061,1669445274005473061,1,-1,-1,-1
1669445274085416113,1669445274085463745,Timing,RTKLocalizationComponent::Proc,47632,0,0,0,0,0,1669445274085463745,1669445274085463745,1669445274085463745,1669445274085463745,1669445274085463745,1,-1,-1,-1
1669445274165326545,1669445274165389430,Timing,RTKLocalizationComponent::Proc,62885,0,0,0,0,0,1669445274165389430,1669445274165389430,1669445274165389430,1669445274165389430,1669445274165389430,1,-1,-1,-1
1669445274247639870,1669445274247720203,Timing,RTKLocalizationComponent::Proc,80333,0,0,0,0,0,1669445274247720203,1669445274247720203,1669445274247720203,1669445274247720203,1669445274247720203,1,-1,-1,-1
1669445274332358258,1669445274332444998,Timing,RTKLocalizationComponent::Proc,86740,0,0,0,0,0,1669445274332444998,1669445274332444998,1669445274332444998,1669445274332444998,1669445274332444998,1,-1,-1,-1
1669445274407201416,1669445274407257803,Timing,RTKLocalizationComponent::Proc,56387,0,0,0,0,0,1669445274407257803,1669445274407257803,1669445274407257803,1669445274407257803,1669445274407257803,1,-1,-1,-1
1669445274485359585,1669445274485426149,Timing,RTKLocalizationComponent::Proc,66564,0,0,0,0,0,1669445274485426149,1669445274485426149,1669445274485426149,1669445274485426149,1669445274485426149,1,-1,-1,-1
1669445274565603446,1669445274565802724,Timing,RTKLocalizationComponent::Proc,199278,0,0,0,0,0,1669445274565802724,1669445274565802724,1669445274565802724,1669445274565802724,1669445274565802724,1,-1,-1,-1
1669445274646633226,1669445274646718105,Timing,RTKLocalizationComponent::Proc,84879,0,0,0,0,0,1669445274646718105,1669445274646718105,1669445274646718105,1669445274646718105,1669445274646718105,1,-1,-1,-1
1669445274725475024,1669445274725546488,Timing,RTKLocalizationComponent::Proc,71464,0,0,0,0,0,1669445274725546488,1669445274725546488,1669445274725546488,1669445274725546488,1669445274725546488,1,-1,-1,-1
1669445274805385950,1669445274805528742,Timing,RTKLocalizationComponent::Proc,142792,0,0,0,0,0,1669445274805528742,1669445274805528742,1669445274805528742,1669445274805528742,1669445274805528742,1,-1,-1,-1
1669445274885337825,1669445274885416895,Timing,RTKLocalizationComponent::Proc,79070,0,0,0,0,0,1669445274885416895,1669445274885416895,1669445274885416895,1669445274885416895,1669445274885416895,1,-1,-1,-1
1669445274965413151,1669445274965478965,Timing,RTKLocalizationComponent::Proc,65814,0,0,0,0,0,1669445274965478965,1669445274965478965,1669445274965478965,1669445274965478965,1669445274965478965,1,-1,-1,-1
1669445275045395978,1669445275045455999,Timing,RTKLocalizationComponent::Proc,60021,0,0,0,0,0,1669445275045455999,1669445275045455999,1669445275045455999,1669445275045455999,1669445275045455999,1,-1,-1,-1
1669445275125316361,1669445275125371213,Timing,RTKLocalizationComponent::Proc,54852,0,0,0,0,0,1669445275125371213,1669445275125371213,1669445275125371213,1669445275125371213,1669445275125371213,1,-1,-1,-1
1669445275205340017,1669445275205392808,Timing,RTKLocalizationComponent::Proc,52791,0,0,0,0,0,1669445275205392808,1669445275205392808,1669445275205392808,1669445275205392808,1669445275205392808,1,-1,-1,-1
