ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,ts_TL,ts_lane,lat_cam,lat_lidar,lat_radar,lat_TL,lat_lane,is_finish,info1,info2,info3
1669878056747219938,1669878056777178065,Timing,FusionCameraDetectionComponent::OnReceiveImage,29958127,1669878056751054708,0,0,0,0,26123357,1669878056777178065,1669878056777178065,1669878056777178065,1669878056777178065,1,6,-1,-1
1669878056751055991,1669878056813053473,Timing,FusionCameraDetectionComponent::OnReceiveImage,61997482,1669878056801696772,0,0,0,0,11356701,1669878056813053473,1669878056813053473,1669878056813053473,1669878056813053473,1,0,-1,-1
1669878056801699600,1669878056839816909,Timing,FusionCameraDetectionComponent::OnReceiveImage,38117309,1669878056813089799,0,0,0,0,26727110,1669878056839816909,1669878056839816909,1669878056839816909,1669878056839816909,1,4,-1,-1
1669878056813090517,1669878056858385642,Timing,FusionCameraDetectionComponent::OnReceiveImage,45295125,1669878056813089799,0,0,0,0,45295843,1669878056858385642,1669878056858385642,1669878056858385642,1669878056858385642,1,0,-1,-1
1669878056956897995,1669878056985177376,Timing,FusionCameraDetectionComponent::OnReceiveImage,28279381,1669878056958873941,0,0,0,0,26303435,1669878056985177376,1669878056985177376,1669878056985177376,1669878056985177376,1,5,-1,-1
1669878056958875099,1669878057003275637,Timing,FusionCameraDetectionComponent::OnReceiveImage,44400538,1669878056958873941,0,0,0,0,44401696,1669878057003275637,1669878057003275637,1669878057003275637,1669878057003275637,1,0,-1,-1
1669878057033554328,1669878057062689966,Timing,FusionCameraDetectionComponent::OnReceiveImage,29135638,1669878057047095038,0,0,0,0,15594928,1669878057062689966,1669878057062689966,1669878057062689966,1669878057062689966,1,5,-1,-1
1669878057047097021,1669878057080888447,Timing,FusionCameraDetectionComponent::OnReceiveImage,33791426,1669878057047095038,0,0,0,0,33793409,1669878057080888447,1669878057080888447,1669878057080888447,1669878057080888447,1,0,-1,-1
1669878057095311050,1669878057125394797,Timing,FusionCameraDetectionComponent::OnReceiveImage,30083747,1669878057098187272,0,0,0,0,27207525,1669878057125394797,1669878057125394797,1669878057125394797,1669878057125394797,1,6,-1,-1
1669878057098188445,1669878057144881841,Timing,FusionCameraDetectionComponent::OnReceiveImage,46693396,1669878057098187272,0,0,0,0,46694569,1669878057144881841,1669878057144881841,1669878057144881841,1669878057144881841,1,0,-1,-1
1669878057164706713,1669878057190383275,Timing,FusionCameraDetectionComponent::OnReceiveImage,25676562,1669878057179765452,0,0,0,0,10617823,1669878057190383275,1669878057190383275,1669878057190383275,1669878057190383275,1,7,-1,-1
1669878057179767915,1669878057207660097,Timing,FusionCameraDetectionComponent::OnReceiveImage,27892182,1669878057179765452,0,0,0,0,27894645,1669878057207660097,1669878057207660097,1669878057207660097,1669878057207660097,1,0,-1,-1
1669878057239583219,1669878057270164474,Timing,FusionCameraDetectionComponent::OnReceiveImage,30581255,1669878057242299734,0,0,0,0,27864740,1669878057270164474,1669878057270164474,1669878057270164474,1669878057270164474,1,7,-1,-1
1669878057242301578,1669878057290337431,Timing,FusionCameraDetectionComponent::OnReceiveImage,48035853,1669878057242299734,0,0,0,0,48037697,1669878057290337431,1669878057290337431,1669878057290337431,1669878057290337431,1,0,-1,-1
1669878057292944900,1669878057319972873,Timing,FusionCameraDetectionComponent::OnReceiveImage,27027973,1669878057298866110,0,0,0,0,21106763,1669878057319972873,1669878057319972873,1669878057319972873,1669878057319972873,1,7,-1,-1
1669878057298867589,1669878057338082826,Timing,FusionCameraDetectionComponent::OnReceiveImage,39215237,1669878057298866110,0,0,0,0,39216716,1669878057338082826,1669878057338082826,1669878057338082826,1669878057338082826,1,0,-1,-1
1669878057358085847,1669878057383740458,Timing,FusionCameraDetectionComponent::OnReceiveImage,25654611,1669878057375127281,0,0,0,0,8613177,1669878057383740458,1669878057383740458,1669878057383740458,1669878057383740458,1,6,-1,-1
