ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,ts_TL,ts_lane,lat_cam,lat_lidar,lat_radar,lat_TL,lat_lane,is_finish,info1,info2,info3
1669879414849903014,1669879414885668705,Timing,FusionCameraDetectionComponent::OnReceiveImage,35765691,1669879414853488594,0,0,0,0,32180111,1669879414885668705,1669879414885668705,1669879414885668705,1669879414885668705,1,7,-1,-1
1669879414853490429,1669879414918698545,Timing,FusionCameraDetectionComponent::OnReceiveImage,65208116,1669879414903447747,0,0,0,0,15250798,1669879414918698545,1669879414918698545,1669879414918698545,1669879414918698545,1,0,-1,-1
1669879414903449510,1669879414939184194,Timing,FusionCameraDetectionComponent::OnReceiveImage,35734684,1669879414918745364,0,0,0,0,20438830,1669879414939184194,1669879414939184194,1669879414939184194,1669879414939184194,1,6,-1,-1
1669879414918746325,1669879414966464799,Timing,FusionCameraDetectionComponent::OnReceiveImage,47718474,1669879414918745364,0,0,0,0,47719435,1669879414966464799,1669879414966464799,1669879414966464799,1669879414966464799,1,0,-1,-1
1669879414972673889,1669879414999175578,Timing,FusionCameraDetectionComponent::OnReceiveImage,26501689,1669879414974768667,0,0,0,0,24406911,1669879414999175578,1669879414999175578,1669879414999175578,1669879414999175578,1,0,-1,-1
1669879414974770261,1669879415020464817,Timing,FusionCameraDetectionComponent::OnReceiveImage,45694556,1669879414974768667,0,0,0,0,45696150,1669879415020464817,1669879415020464817,1669879415020464817,1669879415020464817,1,5,-1,-1
1669879415068556140,1669879415098809408,Timing,FusionCameraDetectionComponent::OnReceiveImage,30253268,1669879415073641178,0,0,0,0,25168230,1669879415098809408,1669879415098809408,1669879415098809408,1669879415098809408,1,6,-1,-1
1669879415073642461,1669879415127216373,Timing,FusionCameraDetectionComponent::OnReceiveImage,53573912,1669879415114304568,0,0,0,0,12911805,1669879415127216373,1669879415127216373,1669879415127216373,1669879415127216373,1,0,-1,-1
1669879415114305975,1669879415148731040,Timing,FusionCameraDetectionComponent::OnReceiveImage,34425065,1669879415127280952,0,0,0,0,21450088,1669879415148731040,1669879415148731040,1669879415148731040,1669879415148731040,1,7,-1,-1
1669879415127282249,1669879415170480938,Timing,FusionCameraDetectionComponent::OnReceiveImage,43198689,1669879415127280952,0,0,0,0,43199986,1669879415170480938,1669879415170480938,1669879415170480938,1669879415170480938,1,0,-1,-1
