ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,ts_TL,ts_lane,lat_cam,lat_lidar,lat_radar,lat_TL,lat_lane,is_finish,info1,info2,info3
1669879385923011826,1669879385923042033,Timing,RTKLocalizationComponent::Proc,30207,0,0,0,0,0,1669879385923042033,1669879385923042033,1669879385923042033,1669879385923042033,1669879385923042033,0,0,0,0
1669879386002669478,1669879386003085943,Timing,RTKLocalizationComponent::Proc,416465,0,0,0,0,0,1669879386003085943,1669879386003085943,1669879386003085943,1669879386003085943,1669879386003085943,1,-1,-1,-1
1669879386082622977,1669879386082678814,Timing,RTKLocalizationComponent::Proc,55837,0,0,0,0,0,1669879386082678814,1669879386082678814,1669879386082678814,1669879386082678814,1669879386082678814,1,-1,-1,-1
1669879386162893597,1669879386162974595,Timing,RTKLocalizationComponent::Proc,80998,0,0,0,0,0,1669879386162974595,1669879386162974595,1669879386162974595,1669879386162974595,1669879386162974595,1,-1,-1,-1
1669879386245595817,1669879386245665249,Timing,RTKLocalizationComponent::Proc,69432,0,0,0,0,0,1669879386245665249,1669879386245665249,1669879386245665249,1669879386245665249,1669879386245665249,1,-1,-1,-1
1669879386322517472,1669879386322571643,Timing,RTKLocalizationComponent::Proc,54171,0,0,0,0,0,1669879386322571643,1669879386322571643,1669879386322571643,1669879386322571643,1669879386322571643,1,-1,-1,-1
1669879386402565817,1669879386402619858,Timing,RTKLocalizationComponent::Proc,54041,0,0,0,0,0,1669879386402619858,1669879386402619858,1669879386402619858,1669879386402619858,1669879386402619858,1,-1,-1,-1
1669879386482562218,1669879386482632269,Timing,RTKLocalizationComponent::Proc,70051,0,0,0,0,0,1669879386482632269,1669879386482632269,1669879386482632269,1669879386482632269,1669879386482632269,1,-1,-1,-1
1669879386562593532,1669879386562665572,Timing,RTKLocalizationComponent::Proc,72040,0,0,0,0,0,1669879386562665572,1669879386562665572,1669879386562665572,1669879386562665572,1669879386562665572,1,-1,-1,-1
1669879386642713222,1669879386642786388,Timing,RTKLocalizationComponent::Proc,73166,0,0,0,0,0,1669879386642786388,1669879386642786388,1669879386642786388,1669879386642786388,1669879386642786388,1,-1,-1,-1
1669879386722613468,1669879386722664510,Timing,RTKLocalizationComponent::Proc,51042,0,0,0,0,0,1669879386722664510,1669879386722664510,1669879386722664510,1669879386722664510,1669879386722664510,1,-1,-1,-1
1669879386802624405,1669879386802685104,Timing,RTKLocalizationComponent::Proc,60699,0,0,0,0,0,1669879386802685104,1669879386802685104,1669879386802685104,1669879386802685104,1669879386802685104,1,-1,-1,-1
1669879386887364614,1669879386887436811,Timing,RTKLocalizationComponent::Proc,72197,0,0,0,0,0,1669879386887436811,1669879386887436811,1669879386887436811,1669879386887436811,1669879386887436811,1,-1,-1,-1
1669879386964419232,1669879386964484972,Timing,RTKLocalizationComponent::Proc,65740,0,0,0,0,0,1669879386964484972,1669879386964484972,1669879386964484972,1669879386964484972,1669879386964484972,1,-1,-1,-1
1669879387042995863,1669879387043056666,Timing,RTKLocalizationComponent::Proc,60803,0,0,0,0,0,1669879387043056666,1669879387043056666,1669879387043056666,1669879387043056666,1669879387043056666,1,-1,-1,-1
1669879387123027137,1669879387123084287,Timing,RTKLocalizationComponent::Proc,57150,0,0,0,0,0,1669879387123084287,1669879387123084287,1669879387123084287,1669879387123084287,1669879387123084287,1,-1,-1,-1
1669879387202985522,1669879387203038197,Timing,RTKLocalizationComponent::Proc,52675,0,0,0,0,0,1669879387203038197,1669879387203038197,1669879387203038197,1669879387203038197,1669879387203038197,1,-1,-1,-1
1669879387283018192,1669879387283086826,Timing,RTKLocalizationComponent::Proc,68634,0,0,0,0,0,1669879387283086826,1669879387283086826,1669879387283086826,1669879387283086826,1669879387283086826,1,-1,-1,-1
1669879387362988310,1669879387363078978,Timing,RTKLocalizationComponent::Proc,90668,0,0,0,0,0,1669879387363078978,1669879387363078978,1669879387363078978,1669879387363078978,1669879387363078978,1,-1,-1,-1
1669879387443113035,1669879387443226120,Timing,RTKLocalizationComponent::Proc,113085,0,0,0,0,0,1669879387443226120,1669879387443226120,1669879387443226120,1669879387443226120,1669879387443226120,1,-1,-1,-1
1669879387522992969,1669879387523065424,Timing,RTKLocalizationComponent::Proc,72455,0,0,0,0,0,1669879387523065424,1669879387523065424,1669879387523065424,1669879387523065424,1669879387523065424,1,-1,-1,-1
1669879387603039438,1669879387603094411,Timing,RTKLocalizationComponent::Proc,54973,0,0,0,0,0,1669879387603094411,1669879387603094411,1669879387603094411,1669879387603094411,1669879387603094411,1,-1,-1,-1
1669879387694098158,1669879387694178701,Timing,RTKLocalizationComponent::Proc,80543,0,0,0,0,0,1669879387694178701,1669879387694178701,1669879387694178701,1669879387694178701,1669879387694178701,1,-1,-1,-1
1669879387769275296,1669879387769354224,Timing,RTKLocalizationComponent::Proc,78928,0,0,0,0,0,1669879387769354224,1669879387769354224,1669879387769354224,1669879387769354224,1669879387769354224,1,-1,-1,-1
1669879387849304229,1669879387849383205,Timing,RTKLocalizationComponent::Proc,78976,0,0,0,0,0,1669879387849383205,1669879387849383205,1669879387849383205,1669879387849383205,1669879387849383205,1,-1,-1,-1
1669879387929275182,1669879387929332335,Timing,RTKLocalizationComponent::Proc,57153,0,0,0,0,0,1669879387929332335,1669879387929332335,1669879387929332335,1669879387929332335,1669879387929332335,1,-1,-1,-1
1669879388009221765,1669879388009420713,Timing,RTKLocalizationComponent::Proc,198948,0,0,0,0,0,1669879388009420713,1669879388009420713,1669879388009420713,1669879388009420713,1669879388009420713,1,-1,-1,-1
1669879388089329314,1669879388089407982,Timing,RTKLocalizationComponent::Proc,78668,0,0,0,0,0,1669879388089407982,1669879388089407982,1669879388089407982,1669879388089407982,1669879388089407982,1,-1,-1,-1
1669879388169617317,1669879388169714038,Timing,RTKLocalizationComponent::Proc,96721,0,0,0,0,0,1669879388169714038,1669879388169714038,1669879388169714038,1669879388169714038,1669879388169714038,1,-1,-1,-1
1669879388249282405,1669879388249362712,Timing,RTKLocalizationComponent::Proc,80307,0,0,0,0,0,1669879388249362712,1669879388249362712,1669879388249362712,1669879388249362712,1669879388249362712,1,-1,-1,-1
1669879388329253926,1669879388329330318,Timing,RTKLocalizationComponent::Proc,76392,0,0,0,0,0,1669879388329330318,1669879388329330318,1669879388329330318,1669879388329330318,1669879388329330318,1,-1,-1,-1
1669879388411931453,1669879388412015508,Timing,RTKLocalizationComponent::Proc,84055,0,0,0,0,0,1669879388412015508,1669879388412015508,1669879388412015508,1669879388412015508,1669879388412015508,1,-1,-1,-1
1669879388491194826,1669879388491290735,Timing,RTKLocalizationComponent::Proc,95909,0,0,0,0,0,1669879388491290735,1669879388491290735,1669879388491290735,1669879388491290735,1669879388491290735,1,-1,-1,-1
1669879388571477334,1669879388571559251,Timing,RTKLocalizationComponent::Proc,81917,0,0,0,0,0,1669879388571559251,1669879388571559251,1669879388571559251,1669879388571559251,1669879388571559251,1,-1,-1,-1
1669879388651239469,1669879388651346691,Timing,RTKLocalizationComponent::Proc,107222,0,0,0,0,0,1669879388651346691,1669879388651346691,1669879388651346691,1669879388651346691,1669879388651346691,1,-1,-1,-1
1669879388734086292,1669879388734170991,Timing,RTKLocalizationComponent::Proc,84699,0,0,0,0,0,1669879388734170991,1669879388734170991,1669879388734170991,1669879388734170991,1669879388734170991,1,-1,-1,-1
1669879388811077123,1669879388811175444,Timing,RTKLocalizationComponent::Proc,98321,0,0,0,0,0,1669879388811175444,1669879388811175444,1669879388811175444,1669879388811175444,1669879388811175444,1,-1,-1,-1
1669879388891218071,1669879388891318358,Timing,RTKLocalizationComponent::Proc,100287,0,0,0,0,0,1669879388891318358,1669879388891318358,1669879388891318358,1669879388891318358,1669879388891318358,1,-1,-1,-1
