ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,ts_TL,ts_lane,lat_cam,lat_lidar,lat_radar,lat_TL,lat_lane,is_finish,info1,info2,info3
1669879444157960841,1669879444158748476,Timing,PredictionComponent::PredictionEndToEndProc,787635,1669879444045214953,1669879444134780429,1669879444074916512,0,0,113533523,23968047,83831964,1669879444158748476,1669879444158748476,1,0,-1,-1
1669879444380952808,1669879444381937253,Timing,PredictionComponent::PredictionEndToEndProc,984445,1669879444327434129,1669879444361347380,1669879444264724440,0,0,54503124,20589873,117212813,1669879444381937253,1669879444381937253,1,0,-1,-1
1669879444442777483,1669879444447700189,Timing,PredictionComponent::PredictionEndToEndProc,4922706,1669879444388880043,1669879444419576535,1669879444264724440,0,0,58820146,28123654,182975749,1669879444447700189,1669879444447700189,1,0,-1,-1
1669879444573246226,1669879444575135385,Timing,PredictionComponent::PredictionEndToEndProc,1889159,1669879444522460080,1669879444551700504,1669879444487254112,0,0,52675305,23434881,87881273,1669879444575135385,1669879444575135385,1,9,-1,-1
1669879444646808958,1669879444649118140,Timing,PredictionComponent::PredictionEndToEndProc,2309182,1669879444584385225,1669879444624444071,1669879444487254112,0,0,64732915,24674069,161864028,1669879444649118140,1669879444649118140,1,9,-1,-1
1669879444782413477,1669879444784241226,Timing,PredictionComponent::PredictionEndToEndProc,1827749,1669879444718561198,1669879444766078927,1669879444758297584,0,0,65680028,18162299,25943642,1669879444784241226,1669879444784241226,1,9,-1,-1
1669879444856192254,1669879444858365032,Timing,PredictionComponent::PredictionEndToEndProc,2172778,1669879444795092481,1669879444837513550,1669879444758297584,0,0,63272551,20851482,100067448,1669879444858365032,1669879444858365032,1,9,-1,-1
1669879444996529965,1669879444998319137,Timing,PredictionComponent::PredictionEndToEndProc,1789172,1669879444930286219,1669879444980126957,1669879444963708257,0,0,68032918,18192180,34610880,1669879444998319137,1669879444998319137,1,9,-1,-1
1669879445064528428,1669879445066345447,Timing,PredictionComponent::PredictionEndToEndProc,1817019,1669879445007075864,1669879445047923788,1669879445039303392,0,0,59269583,18421659,27042055,1669879445066345447,1669879445066345447,1,9,-1,-1
1669879445225236785,1669879445227097933,Timing,PredictionComponent::PredictionEndToEndProc,1861148,1669879445153680032,1669879445207903067,1669879445203493390,0,0,73417901,19194866,23604543,1669879445227097933,1669879445227097933,1,9,-1,-1
1669879445304678888,1669879445307063795,Timing,PredictionComponent::PredictionEndToEndProc,2384907,1669879445247964835,1669879445282912936,1669879445203493390,0,0,59098960,24150859,103570405,1669879445307063795,1669879445307063795,1,9,-1,-1
1669879445366811325,1669879445371651318,Timing,PredictionComponent::PredictionEndToEndProc,4839993,1669879445314499702,1669879445339668210,1669879445203493390,0,0,57151616,31983108,168157928,1669879445371651318,1669879445371651318,1,9,-1,-1
1669879445513969387,1669879445515958457,Timing,PredictionComponent::PredictionEndToEndProc,1989070,1669879445441542874,1669879445497888276,1669879445485898083,0,0,74415583,18070181,30060374,1669879445515958457,1669879445515958457,1,9,-1,-1
1669879445585462176,1669879445587826270,Timing,PredictionComponent::PredictionEndToEndProc,2364094,1669879445527828454,1669879445563118235,1669879445485898083,0,0,59997816,24708035,101928187,1669879445587826270,1669879445587826270,1,9,-1,-1
1669879445661026186,1669879445664244761,Timing,PredictionComponent::PredictionEndToEndProc,3218575,1669879445527828454,1669879445633737086,1669879445485898083,0,0,136416307,30507675,178346678,1669879445664244761,1669879445664244761,1,9,-1,-1
1669879445788303318,1669879445790347863,Timing,PredictionComponent::PredictionEndToEndProc,2044545,1669879445725685467,1669879445770400363,1669879445751795582,0,0,64662396,19947500,38552281,1669879445790347863,1669879445790347863,1,9,-1,-1
1669879445857868390,1669879445861032208,Timing,PredictionComponent::PredictionEndToEndProc,3163818,1669879445725685467,1669879445832577455,1669879445832140667,0,0,135346741,28454753,28891541,1669879445861032208,1669879445861032208,1,9,-1,-1
1669879445993580081,1669879445995932882,Timing,PredictionComponent::PredictionEndToEndProc,2352801,1669879445931161841,1669879445977497948,1669879445832140667,0,0,64771041,18434934,163792215,1669879445995932882,1669879445995932882,1,9,-1,-1
1669879446079225779,1669879446082236688,Timing,PredictionComponent::PredictionEndToEndProc,3010909,1669879446015501115,1669879446063576141,1669879446055211468,0,0,66735573,18660547,27025220,1669879446082236688,1669879446082236688,1,9,-1,-1
1669879446222671211,1669879446226752987,Timing,PredictionComponent::PredictionEndToEndProc,4081776,1669879446165447518,1669879446203538143,1669879446128996371,0,0,61305469,23214844,97756616,1669879446226752987,1669879446226752987,1,8,-1,-1
1669879446297091396,1669879446299356167,Timing,PredictionComponent::PredictionEndToEndProc,2264771,1669879446241571503,1669879446281170119,1669879446271067664,0,0,57784664,18186048,28288503,1669879446299356167,1669879446299356167,1,9,-1,-1
1669879446398316118,1669879446400771504,Timing,PredictionComponent::PredictionEndToEndProc,2455386,1669879446318005945,1669879446378366740,1669879446369624987,0,0,82765559,22404764,31146517,1669879446400771504,1669879446400771504,1,9,-1,-1
1669879446551202347,1669879446553397647,Timing,PredictionComponent::PredictionEndToEndProc,2195300,1669879446491809415,1669879446534454421,1669879446526227648,0,0,61588232,18943226,27169999,1669879446553397647,1669879446553397647,1,9,-1,-1
1669879446631257499,1669879446634528073,Timing,PredictionComponent::PredictionEndToEndProc,3270574,1669879446566115558,1669879446607856455,1669879446526227648,0,0,68412515,26671618,108300425,1669879446634528073,1669879446634528073,1,9,-1,-1
1669879446694567708,1669879446697168260,Timing,PredictionComponent::PredictionEndToEndProc,2600552,1669879446642773268,1669879446677269932,1669879446665231998,0,0,54394992,19898328,31936262,1669879446697168260,1669879446697168260,1,8,-1,-1
1669879446786187850,1669879446788365407,Timing,PredictionComponent::PredictionEndToEndProc,2177557,1669879446705902494,1669879446769173909,1669879446761221831,0,0,82462913,19191498,27143576,1669879446788365407,1669879446788365407,1,8,-1,-1
1669879446964678662,1669879448033140761,Timing,PredictionComponent::PredictionEndToEndProc,1068462099,1669879446894125877,1669879446948548037,1669879446939795435,0,0,1139014884,1084592724,1093345326,1669879448033140761,1669879448033140761,1,8,-1,-1
1669879448033368041,1669879449058528367,Timing,PredictionComponent::PredictionEndToEndProc,1025160326,1669879447919146698,1669879447950685488,1669879447879000527,0,0,1139381669,1107842879,1179527840,1669879449058528367,1669879449058528367,1,8,-1,-1
1669879449058698567,1669879449081920288,Timing,PredictionComponent::PredictionEndToEndProc,23221721,1669879448984313328,1669879449023740691,1669879448944204631,0,0,97606960,58179597,137715657,1669879449081920288,1669879449081920288,1,8,-1,-1
1669879449115492014,1669879449127765998,Timing,PredictionComponent::PredictionEndToEndProc,12273984,1669879449054843948,1669879449098924671,1669879449092414482,0,0,72922050,28841327,35351516,1669879449127765998,1669879449127765998,1,8,-1,-1
1669879449198140173,1669879449207534205,Timing,PredictionComponent::PredictionEndToEndProc,9394032,1669879449129778471,1669879449181854314,1669879449174194268,0,0,77755734,25679891,33339937,1669879449207534205,1669879449207534205,1,8,-1,-1
1669879449282627715,1669879449293019508,Timing,PredictionComponent::PredictionEndToEndProc,10391793,1669879449211907264,1669879449266233849,1669879449258088698,0,0,81112244,26785659,34930810,1669879449293019508,1669879449293019508,1,8,-1,-1
1669879449415833153,1669879449423422197,Timing,PredictionComponent::PredictionEndToEndProc,7589044,1669879449375324282,1669879449398821787,1669879449324366330,0,0,48097915,24600410,99055867,1669879449423422197,1669879449423422197,1,8,-1,-1
1669879449524307621,1669879449534975681,Timing,PredictionComponent::PredictionEndToEndProc,10668060,1669879449439098365,1669879449473796407,1669879449324366330,0,0,95877316,61179274,210609351,1669879449534975681,1669879449534975681,1,7,-1,-1
1669879449557826782,1669879449584608063,Timing,PredictionComponent::PredictionEndToEndProc,26781281,1669879449505855413,1669879449540275021,1669879449324366330,0,0,78752650,44333042,260241733,1669879449584608063,1669879449584608063,1,7,-1,-1
1669879449683666799,1669879449696933472,Timing,PredictionComponent::PredictionEndToEndProc,13266673,1669879449632688186,1669879449666682135,1669879449599671672,0,0,64245286,30251337,97261800,1669879449696933472,1669879449696933472,1,8,-1,-1
1669879449766310568,1669879449791583214,Timing,PredictionComponent::PredictionEndToEndProc,25272646,1669879449709246895,1669879449749527068,1669879449741014228,0,0,82336319,42056146,50568986,1669879449791583214,1669879449791583214,1,8,-1,-1
1669879449901910414,1669879449916728176,Timing,PredictionComponent::PredictionEndToEndProc,14817762,1669879449839319699,1669879449884735556,1669879449805229982,0,0,77408477,31992620,111498194,1669879449916728176,1669879449916728176,1,8,-1,-1
1669879449983805575,1669879450002650268,Timing,PredictionComponent::PredictionEndToEndProc,18844693,1669879449916879333,1669879449963979353,1669879449949047569,0,0,85770935,38670915,53602699,1669879450002650268,1669879450002650268,1,8,-1,-1
1669879450114584679,1669879450120636567,Timing,PredictionComponent::PredictionEndToEndProc,6051888,1669879450058731378,1669879450097952837,1669879450093336205,0,0,61905189,22683730,27300362,1669879450120636567,1669879450120636567,1,8,-1,-1
1669879450189781580,1669879450198772343,Timing,PredictionComponent::PredictionEndToEndProc,8990763,1669879450128469179,1669879450171361518,1669879450093336205,0,0,70303164,27410825,105436138,1669879450198772343,1669879450198772343,1,8,-1,-1
1669879450273830252,1669879450294296590,Timing,PredictionComponent::PredictionEndToEndProc,20466338,1669879450200837068,1669879450252886513,1669879450237219653,0,0,93459522,41410077,57076937,1669879450294296590,1669879450294296590,1,8,-1,-1
1669879450402850833,1669879450421813464,Timing,PredictionComponent::PredictionEndToEndProc,18962631,1669879450348427083,1669879450377697396,1669879450310148218,0,0,73386381,44116068,111665246,1669879450421813464,1669879450421813464,1,8,-1,-1
1669879450466879030,1669879450486521597,Timing,PredictionComponent::PredictionEndToEndProc,19642567,1669879450404410950,1669879450446272865,1669879450310148218,0,0,82110647,40248732,176373379,1669879450486521597,1669879450486521597,1,8,-1,-1
1669879450535997339,1669879450551668991,Timing,PredictionComponent::PredictionEndToEndProc,15671652,1669879450477668431,1669879450518990213,1669879450310148218,0,0,74000560,32678778,241520773,1669879450551668991,1669879450551668991,1,8,-1,-1
1669879450681158161,1669879450687527163,Timing,PredictionComponent::PredictionEndToEndProc,6369002,1669879450612847073,1669879450664745080,1669879450577314871,0,0,74680090,22782083,110212292,1669879450687527163,1669879450687527163,1,8,-1,-1
1669879450825713540,1669879450836557586,Timing,PredictionComponent::PredictionEndToEndProc,10844046,1669879450769031068,1669879450807939488,1669879450800215799,0,0,67526518,28618098,36341787,1669879450836557586,1669879450836557586,1,8,-1,-1
1669879450891085318,1669879450910319754,Timing,PredictionComponent::PredictionEndToEndProc,19234436,1669879450845778767,1669879450867151263,1669879450800215799,0,0,64540987,43168491,110103955,1669879450910319754,1669879450910319754,1,9,-1,-1
1669879450962213086,1669879450969347280,Timing,PredictionComponent::PredictionEndToEndProc,7134194,1669879450900741662,1669879450946134143,1669879450933629213,0,0,68605618,23213137,35718067,1669879450969347280,1669879450969347280,1,7,-1,-1
1669879451098688859,1669879451106171554,Timing,PredictionComponent::PredictionEndToEndProc,7482695,1669879451036467065,1669879451082905627,1669879451065698263,0,0,69704489,23265927,40473291,1669879451106171554,1669879451106171554,1,8,-1,-1
1669879451206287323,1669879451215008331,Timing,PredictionComponent::PredictionEndToEndProc,8721008,1669879451115879676,1669879451153375178,1669879451065698263,0,0,99128655,61633153,149310068,1669879451215008331,1669879451215008331,1,8,-1,-1
1669879451290798132,1669879451298429863,Timing,PredictionComponent::PredictionEndToEndProc,7631731,1669879451236410705,1669879451272643706,1669879451263142858,0,0,62019158,25786157,35287005,1669879451298429863,1669879451298429863,1,8,-1,-1
1669879451365852318,1669879451371737585,Timing,PredictionComponent::PredictionEndToEndProc,5885267,1669879451311842076,1669879451348811602,1669879451263142858,0,0,59895509,22925983,108594727,1669879451371737585,1669879451371737585,1,8,-1,-1
1669879451482496222,1669879451493842380,Timing,PredictionComponent::PredictionEndToEndProc,11346158,1669879451433106040,1669879451457338546,1669879451399707734,0,0,60736340,36503834,94134646,1669879451493842380,1669879451493842380,1,8,-1,-1
1669879451548693714,1669879451556695598,Timing,PredictionComponent::PredictionEndToEndProc,8001884,1669879451489319469,1669879451530808000,1669879451522468233,0,0,67376129,25887598,34227365,1669879451556695598,1669879451556695598,1,7,-1,-1
1669879451682727515,1669879451687409204,Timing,PredictionComponent::PredictionEndToEndProc,4681689,1669879451629057409,1669879451662137746,1669879451596226733,0,0,58351795,25271458,91182471,1669879451687409204,1669879451687409204,1,8,-1,-1
1669879451750892378,1669879451756392653,Timing,PredictionComponent::PredictionEndToEndProc,5500275,1669879451693298414,1669879451734257084,1669879451722532229,0,0,63094239,22135569,33860424,1669879451756392653,1669879451756392653,1,8,-1,-1
1669879451874394111,1669879451880936165,Timing,PredictionComponent::PredictionEndToEndProc,6542054,1669879451820829956,1669879451856297467,1669879451840142068,0,0,60106209,24638698,40794097,1669879451880936165,1669879451880936165,1,8,-1,-1
1669879452061005311,1669879452067491282,Timing,PredictionComponent::PredictionEndToEndProc,6485971,1669879451986684440,1669879452045320730,1669879452018625430,0,0,80806842,22170552,48865852,1669879452067491282,1669879452067491282,1,8,-1,-1
1669879452360807940,1669879452384476975,Timing,PredictionComponent::PredictionEndToEndProc,23669035,1669879452277147343,1669879452342827873,1669879452327115841,0,0,107329632,41649102,57361134,1669879452384476975,1669879452384476975,1,5,-1,-1
1669879452444448192,1669879452459956862,Timing,PredictionComponent::PredictionEndToEndProc,15508670,1669879452370269127,1669879452426821286,1669879452418595453,0,0,89687735,33135576,41361409,1669879452459956862,1669879452459956862,1,5,-1,-1
1669879452578982944,1669879452589888289,Timing,PredictionComponent::PredictionEndToEndProc,10905345,1669879452522844638,1669879452562298856,1669879452553506733,0,0,67043651,27589433,36381556,1669879452589888289,1669879452589888289,1,5,-1,-1
1669879452659353676,1669879452693271714,Timing,PredictionComponent::PredictionEndToEndProc,33918038,1669879452600447826,1669879452639095720,1669879452630550524,0,0,92823888,54175994,62721190,1669879452693271714,1669879452693271714,1,5,-1,-1
1669879452793210593,1669879452824402840,Timing,PredictionComponent::PredictionEndToEndProc,31192247,1669879452737449498,1669879452775127377,1669879452766575207,0,0,86953342,49275463,57827633,1669879452824402840,1669879452824402840,1,4,-1,-1
