ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,ts_TL,ts_lane,lat_cam,lat_lidar,lat_radar,lat_TL,lat_lane,is_finish,info1,info2,info3
1669879444160307624,1669879444162434511,Timing,PlanningComponent::Proc,2126887,1669879444045214953,1669879444134780429,1669879444074916512,1669879444044223490,0,117219558,27654082,87517999,118211021,1669879444162434511,1,0,0,0
1669879444382036285,1669879444479237868,Timing,PlanningComponent::Proc,97201583,1669879444327434129,1669879444361347380,1669879444264724440,1669879444317217311,0,151803739,117890488,214513428,162020557,1669879444479237868,1,0,0,0
1669879444479675662,1669879444514483836,Timing,PlanningComponent::Proc,34808174,1669879444388880043,1669879444419576535,1669879444264724440,1669879444455752123,0,125603793,94907301,249759396,58731713,1669879444514483836,1,0,0,0
1669879444575437051,1669879444610554042,Timing,PlanningComponent::Proc,35116991,1669879444522460080,1669879444551700504,1669879444487254112,1669879444455752123,0,88093962,58853538,123299930,154801919,1669879444610554042,1,9,0,0
1669879444649447826,1669879444685487133,Timing,PlanningComponent::Proc,36039307,1669879444584385225,1669879444624444071,1669879444487254112,1669879444644313138,0,101101908,61043062,198233021,41173995,1669879444685487133,1,9,0,0
1669879444784461152,1669879444815026997,Timing,PlanningComponent::Proc,30565845,1669879444718561198,1669879444766078927,1669879444758297584,1669879444644313138,0,96465799,48948070,56729413,170713859,1669879444815026997,1,9,0,0
1669879444858774485,1669879444904296302,Timing,PlanningComponent::Proc,45521817,1669879444795092481,1669879444837513550,1669879444758297584,1669879444788472171,0,109203821,66782752,145998718,115824131,1669879444904296302,1,9,0,0
1669879444998533219,1669879445028117514,Timing,PlanningComponent::Proc,29584295,1669879444930286219,1669879444980126957,1669879444963708257,1669879444925898441,0,97831295,47990557,64409257,102219073,1669879445028117514,1,9,0,0
1669879445066548973,1669879445109809783,Timing,PlanningComponent::Proc,43260810,1669879445007075864,1669879445047923788,1669879445039303392,1669879444925898441,0,102733919,61885995,70506391,183911342,1669879445109809783,1,9,0,0
1669879445227280314,1669879445264650978,Timing,PlanningComponent::Proc,37370664,1669879445153680032,1669879445207903067,1669879445203493390,1669879445077023177,0,110970946,56747911,61157588,187627801,1669879445264650978,1,9,0,0
